Line,Donor_Lat,Donor_Lon,Donor_Ele
LANDB102A,-9.028934,-75.513495,306
LANDB102B,-9.028934,-75.513495,306
LANDB102C,-9.028934,-75.513495,306
LANDB103A,-13.650254,-72.89971,2154
LANDB103B,-13.650254,-72.89971,2154
LANDB103C,-13.650254,-72.89971,2154
LANDB104A,-14.389555,-65.195133,149
LANDB104B,-14.389555,-65.195133,149
LANDB104C,-14.389555,-65.195133,149
LANDB105A,-7.804269,-78.041914,3217
LANDB105B,-7.804269,-78.041914,3217
LANDB105C,-7.804269,-78.041914,3217
LANDB106A,-7.174336,-76.692725,269
LANDB106B,-7.174336,-76.692725,269
LANDB106C,-7.174336,-76.692725,269
LANDB107A,-13.420293,-72.2085,3326
LANDB107B,-13.420293,-72.2085,3326
LANDB107C,-13.420293,-72.2085,3326
LANDB108A,-12.73333333,-76.46666667,260
LANDB108B,-12.73333333,-76.46666667,260
LANDB108C,-12.73333333,-76.46666667,260
LANDB144,19.42,-101.56,2483
LANDB145A,19.52,-101.73,2188
LANDB146A,19.28,-101.63,2293
LANDB147A,19.52,-101.22,2229
LANDB147B,19.52,-101.22,2229
LANDB147C,19.52,-101.22,2229
LANDB148A,19.67,-101.92,2430
LANDB148B,19.67,-101.92,2430
LANDB148C,19.67,-101.92,2430
LANDB149,19.73,-102.08,2129
LANDB150A,19.63,-102.5,1298
LANDB150B,19.63,-102.5,1298
LANDB150C,19.63,-102.5,1298
LANDB151A,19.68,-101.97,2292
LANDB151B,19.68,-101.97,2292
LANDB151C,19.68,-101.97,2292
LANDB152A,19.57,-102.27,2416
LANDB152B,19.57,-102.27,2416
LANDB153A,19.47,-102.06,1902
LANDB153B,19.47,-102.06,1902
LANDB153C,19.47,-102.06,1902
LANDB154A,19.65,-100.59,2180
LANDB154B,19.65,-100.59,2180
LANDB154C,19.65,-100.59,2180
LANDB155A,19.45,-100.18,2939
LANDB156A,19.41,-100.12,2568
LANDB156B,19.41,-100.12,2568
LANDB156C,19.41,-100.12,2568
LANDB157A,19.62,-98.91,2259
LANDB158A,19.35,-99.8,2636
LANDB158B,19.35,-99.8,2636
LANDB158C,19.35,-99.8,2636
LANDB159A,19.03,-100.03,1956
LANDB159B,19.03,-100.03,1956
LANDB159C,19.03,-100.03,1956
LANDB160A,18.97,-99.4,2445
LANDB160B,18.97,-99.4,2445
LANDB160C,18.97,-99.4,2445
LANDB161A,19.54,-97.25,2451
LANDB161B,19.54,-97.25,2451
LANDB161C,19.54,-97.25,2451
LANDB162,19.62,-97.08,2634
LANDB163A,19.51,-97.2,3017
LANDB163B,19.51,-97.2,3017
LANDB163C,19.51,-97.2,3017
LANDB164A,19.62,-97.17,2552
LANDB164B,19.62,-97.17,2552
LANDB165A,19.28,-97.33,2514
LANDB165B,19.28,-97.33,2514
LANDB165C,19.28,-97.33,2514
LANDB166A,14.86,-92.08,233
LANDB166B,14.86,-92.08,233
LANDB166C,14.86,-92.08,233
LANDB167,14.93,-92.16,301
LANDB168,15.02,-92.19,583
LANDB169,16.91,-92.63,1561
LANDB200,18.5,-98.76666667,1034
LANDB201,20.15,-101.1833333,1828
LANDB202,20.526344,-101.051197,1729
LANDB203,19.98333333,-102.3,1568
LANDB204,22.199415,-102.310212,1930
LANDB205,17.060938,-96.809611,1626
LANDB206,19.469084,-102.06122,1902
LANDB207,19.967035,-97.597842,1500
LANDB208,21.049644,-99.81409,1332
LANDB209,16.826141,-96.675921,1526
LANDB210,29.259947,-107.423301,1861
LANDB211,22.394537,-103.7373,1358
LANDB212,20.53333333,-104.7833333,1237
LANDB213,16.328624,-91.943308,1494
LANDB214,18.76666667,-98.98333333,1213
LANDB215,28.611505,-105.97864,1425
LANDB216,17.243384,-96.196364,1084
LANDB217,21.851035,-102.764636,1606
LANDB218,21.36666667,-101.9166667,1873
LANDB219,28.96666667,-107.8333333,1870
LANDB220,16.233634,-97.28339,1512
LANDB221,21.16666667,-102.45,1781
LANDB222,21.8,-100.9166667,1842
LANDB223,20.73,-101.9,1720
LANDB224,20.28333333,-103.4166667,1530
LANDB225,19.08333333,-97.03333333,1486
LANDB226,18.554474,-98.519476,1202
LANDB227,28.93333333,-107.5666667,1953
LANDB228,24.51666667,-104.6666667,1928
LANDB229,20.66666667,-103.3333333,1563
LANDB230,-12.780901,-72.619485,1112
LANDB231,-3.675761,-79.675427,1236
LANDB232,-16.708073,-71.881796,1248
LANDB233,-5.144631,-79.017814,1501
LANDB234,-15.312489,-68.317686,1006
LANDB235,-19.802454,-63.949143,1185
LANDB236,-16.300228,-67.449406,1681
LANDB237,-17.950849,-64.76701,1800
LANDB238,-5.930553,-77.237115,1000
LANDB239,-18.197621,-63.875506,1676
LANDB240,-18.4902,-64.090414,1978
LANDB241,-22.03333333,-64.45,1104
LANDB242,-22.278901,-64.688876,1548
LANDB243,-6.633333333,-78.25,1730
LANDB244,-18.478497,-63.836848,1846
LANDB245,-10.56666667,-75.4,1858
LANDB246,4.754947,-76.256765,1500
LANDB247,-5.32969,-79.430915,1978
LANDB248,-20.266687,-64.083629,1244
LANDB249,0.084835,-78.742855,1563
LANDB250,-14.650366,-68.591021,1920
LANDB251,-4.258166,-79.220175,1550
LANDB252,-24.216859,-65.255424,1180
LANDB253,-21.4,-64.7,1890
LANDB254,-1.399065,-78.42646,1837
LANDB259,19.268596,-98.523863,2438
LANDB260,19.28333333,-97.33333333,2514
LANDB261A,19.286184,-99.570871,2597
LANDB262,19.299615,-99.670425,2781
LANDB263,19.258453,-99.546269,2585
LANDB264,-12.144625,-75.231622,3188
LANDB265,-12.142229,-75.23009,3188
LANDB266,-12.11666667,-75.26666667,3241
LANDB267,-12.284165,-74.873418,2418
LANDB268,-13.192147,-74.112672,3075
LANDB269,18.08333333,-66.36666667,230
LANDB270,20.73333333,-76.38333333,62
LANDB271,18.55853,-74.264148,167
LANDB272,19.736877,-70.928539,162
LANDB273,18.059362,-66.399305,160
LANDB274,17.718069,-64.706515,31
LANDB275,21.2,-76.61666667,11
LANDB276,22.41666667,-83.73333333,79
LANDB277,20.9,-76.25,150
LANDB278,20.676748,-75.729414,20
LANDB279,12.2,-61.63,63
LANDB280,18.563505,-74.267982,154
LANDB281,19.646842,-70.013422,240
LANDB282,-23.916667,-51.866667,339
LANDB283,-23.916667,-51.866667,337
LANDB284,-11.55,-39.26666667,392
LANDB285,-10.28333333,-36.6,9
LANDB286,-3.81233,-38.693975,43
LANDB287,-3.81233,-38.693975,43
LANDB288,20.38333333,-76.43333333,107
LANDB289,20.3,-76.21666667,102
LANDB290,12.030311,-61.748698,71
LANDB291,16.319743,-61.350975,20
LANDB292,16.262387,-61.581424,21
LANDB293,19.663248,-72.678269,198
LANDB294,19.565256,-72.500407,613
LANDB295,19.18333333,-70.5,196
LANDB296,19.197019,-70.021015,65
LANDB297,19.663433,-69.952097,128
LANDB298,19.743912,-70.874286,177
LANDB299,17.718069,-64.706515,31
LANDB300,13.161853,-61.221184,89
LANDB301,10.209325,-61.464321,3
LANDB302,10.548746,-61.26624,23
LANDB303,10.502186,-61.249153,52
LANDB304,10.28333333,-61.4,43
LANDB305,-22.45,-46.93333333,626
LANDB306,-24,-48.3,698
LANDB307,5.456466,-55.32512,11
LANDB308,-27.616667,-54.3,290
LANDB309,-31.494769,-53.340291,399
LANDB310,-28.263266,-54.009359,310
LANDB311,-29.33333333,-54.16666667,322
LANDB312,-28.365057,-54.283493,250
LANDB313,-28.365057,-54.283493,274
LANDB314,-29.33333333,-54.16666667,274
LANDB315,-29.33333333,-54.16666667,274
LANDB316,-28.033333,-54.333333,412
LANDB317,-20.62891,-51.127617,353
LANDB318,-21.533333,-51.483333,373
LANDB319,-23.4,-45.88333333,666
LANDB320,-23.076071,-47.959266,515
LANDB322,-23.397216,-49.519177,534
LANDB323,-22.537739,-47.937215,632
LANDB324,-21.583333,-48.766667,552
LANDB325,-23.397216,-49.519177,534
LANDB326,-21.78333333,-50.83333333,455
LANDB327,-23.11666667,-47.71666667,505
LANDB328,-22.91666667,-45.46666667,539
LANDB329,-23.088964,-47.241578,615
LANDB330,-22.437175,-50.202062,687
LANDB331,-23.18333333,-45.88333333,594
LANDB332,-12.651497,-39.1086,201
LANDB333,22.971991,-81.507393,99
LANDB334,-28.515684,-49.005651,2
LANDB335,-20.7,-42.71666667,685
LANDB336,-28.51666667,-49.31666667,50
LANDB337,-20.8,-49.38333333,514
LANDB338,-22.45,-46.93333333,626
LANDB339,-22.437301,-46.852271,660
LANDB340,17.718069,-64.706515,31
LANDB341,-28.920044,-49.457185,9
LANDB342,20.862895,-76.463107,118
LANDB343,-27.21666667,-49.65,345
LANDB344,-28.527081,-53.998021,391
LANDB345,-22.232837,-49.825724,625
LANDB346,-32.68333333,-58.13333333,8
LANDB347,-20.93333333,-49.21666667,547
LANDB348,-23.916667,-51.866667,339
LANDB349,-29.674475,-53.890233,105
LANDB350,-27.616667,-54.3,290
LANDB351,-29.099481,-50.622391,880
LANDB352,-28.03333333,-54.33333333,418
LANDB353,-27.580314,-53.960459,424
LANDB354,-28.263266,-54.009359,310
LANDB355,-22.625913,-48.806462,611
LANDB356,-22.612407,-47.210516,600
LANDB357,-22.01666667,-47.9,826
LANDB358,-21.93333333,-50.5,499
LANDB359,-21.66666667,-49.75,443
LANDB360,-12.43333333,-39.21666667,208
LANDB361A,-25.8,-49.75,921
LANDB361B,-25.8,-49.75,921
LANDB361C,-25.8,-49.75,921
LANDB362,-28.36666667,-53.88333333,309
LANDB363A,-28.515684,-49.005651,2
LANDB363B,-28.515684,-49.005651,2
LANDB363C,-28.515684,-49.005651,2
LANDB364,7.827287,-72.453725,401
LANDB365,9.411944,-67.465871,126
LANDB366A,-33.494989,-58.255224,18
LANDB366B,-33.494989,-58.255224,18
LANDB366C,-33.494989,-58.255224,18
LANDB367,8.291141,-72.360865,59
LANDB368A,8.267071,-70.556081,153
LANDB368B,8.267071,-70.556081,153
LANDB368C,8.267071,-70.556081,153
LANDB369,10.464608,-68.012668,9
LANDB370,7.488302,-70.306586,110
LANDB371A,10.568005,-69.691145,270
LANDB371B,10.568005,-69.691145,270
LANDB371C,10.568005,-69.691145,270
LANDB372,9.658501,-68.158666,153
LANDB373A,19.38583,-70.639142,197
LANDB373B,19.38583,-70.639142,197
LANDB373C,19.38583,-70.639142,197
LANDB374A,19.437646,-70.74942,223
LANDB374B,19.437646,-70.74942,223
LANDB374C,19.437646,-70.74942,223
LANDB375A,18.61,-68.7,86
LANDB375B,18.61,-68.7,86
LANDB375C,18.61,-68.7,86
LANDB376,-15.79,-43.24,678
LANDB377,-8.283333333,-35.96666667,537
LANDB378A,9.426424,-70.462042,627
LANDB378B,9.426424,-70.462042,627
LANDB378C,9.426424,-70.462042,627
LANDB379,8.916666667,-64.25,282
LANDB380,9.379051,-67.043056,146
LANDB381A,10.11666667,-66.76666667,195
LANDB381B,10.11666667,-66.76666667,195
LANDB381C,10.11666667,-66.76666667,195
LANDB382,-11.23333333,-38.48333333,153
LANDB383,-10.7,-38.18333333,257
LANDB384,-7.983333333,-38.3,420
LANDB385A,-6.45,-37.1,152
LANDB385B,-6.45,-37.1,152
LANDB385C,-6.45,-37.1,152
LANDB386,-17.83333333,-39.41666667,7
LANDB387,-11.23333333,-38.48333333,153
LANDB388,22.88333333,-82.5,51
LANDB389,22.939293,-80.849089,21
LANDB390A,23.012475,-81.565307,77
LANDB390B,23.012475,-81.565307,77
LANDB390C,23.012475,-81.565307,77
LANDB391,18.563505,-74.267982,154
LANDB392,19.443545,-70.777325,177
LANDB393A,-11.36666667,-38.35,153
LANDB393B,-11.36666667,-38.35,153
LANDB393C,-11.36666667,-38.35,153
LANDB394,-1.75,-53.5,22
LANDB395,9.101847,-62.028567,7
LANDB396,2.807101,-60.575732,78
LANDB397,-10.06666667,-38.35,283
LANDB398,-17.6,-39.68,97
LANDB399,-13.75,-42.46666667,675
LANDB400,-16.86666667,-42.06666667,319
LANDB401,-16.86666667,-42.06666667,319
LANDB402A,-16.56666667,-41.5,244
LANDB402B,-16.56666667,-41.5,244
LANDB402C,-16.56666667,-41.5,244
LANDB403,-16.18333333,-40.7,189
LANDB404,-22.141975,-56.536975,176
LANDB405,-26.035028,-53.076765,555
LANDB406,-24.08333333,-54.16666667,281
LANDB407,-24.08333333,-54.16666667,281
LANDB408,-16.388263,-39.110395,57
LANDB409,22.36666667,-105.5333333,6
LANDB410,20.16666667,-75.2,54
LANDB411,-30.142878,-66.535742,389
LANDB412,24.031255,-99.206515,220
