row,DTP,GDUs,CLYB7A-21-,Who/What,Female genotype,Male genotype,plant_height,ear_height
824,81,1569.6,824,LANTEO,LANTEO137BAAA_BC2,@,215,95
825,82,1596.2,825,LANTEO,LANTEO137BAAB_BC2,@,230,125
826,77,1473.1,826,LANTEO,LANTEO137BABA_BC2,@,230,105
827,80,1545.8,827,LANTEO,LANTEO145BBAA_BC2,@,210,95
828,81,1569.6,828,LANTEO,LANTEO145BBAB_BC2,@,205,105
829,81,1569.6,829,LANTEO,LANTEO146BABB_BC2,@,205,100
830,81,1569.6,830,LANTEO,LANTEO148BBCA_BC2,@,245,130
831,80,1545.8,831,LANTEO,LANTEO148BBCB_BC2,@,215,105
832,82,1596.2,832,LANTEO,LANTEO150BBAA_BC2,@,195,95
833,82,1596.2,833,LANTEO,LANTEO150BBAB_BC2,@,190,75
834,81,1569.6,834,LANTEO,LANTEO168BAAB_BC2,@,180,80
835,83,1624.8,835,LANTEO,LANTEO174BABA_BC2,@,200,90
836,85,1678.1,836,LANTEO,LANTEO211BAAA_BC2,@,205,115
837,82,1596.2,837,LANTEO,LANTEO211BABA_BC2,@,180,85
838,84,1654.2,838,LANTEO,LANTEO211BABB_BC2,@,220,100
839,83,1624.8,839,LANTEO,LANTEO219BBBA_BC2,@,210,90
840,84,1654.2,840,LANTEO,LANTEO219BBBB_BC2,@,220,90
841,81,1569.6,841,LANTEO,LANTEO224BAAA_BC2,@,220,110
842,78,1504.2,842,LANTEO,LANTEO226BAAA_BC2,@,220,105
843,83,1624.8,843,LANTEO,LANTEO226BAAB_BC2,@,230,110
844,83,1624.8,844,LANTEO,LANTEO228BAAA_BC2,@,255,110
845,,,845,LANTEO,LANTEO228BAAB_BC2,@,,
846,,,846,LANTEO,LANTEO239BABA_BC2,@,,
847,,,847,LANTEO,LANTEO239BABB_BC2,@,,
848,,,848,LANTEO,LANTEO240BACA_BC2,@,,
