Line,State,Line-id,line-plant,Donor,Pop,Donor_CIMMYT_ID,Donor_ID,Donor_Accession,Donor_Race,Donor_Lat,Donor_Lon,Donor_Ele,F1,BC1 (683),BC1_ALTERNATIVE,BC1S1 (650),BC1S2 (599),BC1S3 (452),BC1 S4 (414),BC1 S4 BULK1 (225),Bulk1 Weight (gr),BC1 S4 BULK2 ,Bulk2 Weight (gr),TC-T6,TC-Weight (gr)
LANDB028B,BC1S3,LANDB028,B,Mex_23-Low,HiLo,CIMMYTMA-025845,27181,VERA272,TUXPEN,21.51666667,-98.38333333,42,,RS17-213xB73,RS17-213xB73,UL18A-547@,UNISEM_18B_1607@,RS19-3115,,,,CLY21-B7-78,96,,
LANDB028C,BC1S4-bulked,LANDB028,C,Mex_23-Low,HiLo,CIMMYTMA-025845,27181,VERA272,TUXPEN,21.51666667,-98.38333333,42,,RS17-213xB73,RS17-213xB73,UL18A-548@,UNISEM_18B_1608@,RS19-3116,,PV21-42 (S3 bulked),462,,,,
LANDB029A,BC1S4-bulked,LANDB029,A,Mex_24-High,HiLo,CIMMYTMA-025151,26691,QUER111,,20.175815,-100.139433,2674,,RS17-70xB73,,RS17-6626.1@,UL18A-549@,UNISEM_18B_1609@,RS19-3117,PV21-43,81,,,,
LANDB029B,BC1S3,LANDB029,B,Mex_24-High,HiLo,CIMMYTMA-025151,26691,QUER111,,20.175815,-100.139433,2674,,RS17-70xB73,,UL18A-550@,UNISEM_18B_1610@,RS19-3118,,,459,,,,
LANDB029C,BC1S3,LANDB029,C,Mex_24-High,HiLo,CIMMYTMA-025151,26691,QUER111,,20.175815,-100.139433,2674,,RS17-70xB73,,UL18A-551@,UNISEM_18B_1611@,PV21-1460,,,,,,,
LANDB030A,BC1S4,LANDB030,A,Mex_24-Low,HiLo,CIMMYTMA-025289,4091,NAYA312,,20.8,-104.4,800,,RS17-228xB73,RS17-228xB73,RS17-6627.1@,UNISEM_18B_1612@,PV21-1583,CLY21-450@,,,,,,
LANDB030B,BC1S4-bulked,LANDB030,B,Mex_24-Low,HiLo,CIMMYTMA-025289,4091,NAYA312,,20.8,-104.4,800,,RS17-228xB73,RS17-228xB73,RS17-6627.2@,UNISEM_18B_1613@,UNISEM19A_RS-30(RS19-7030)@,PV21-1584,CLY21B7-334,219,,,,
LANDB030C,BC1S4-bulked,LANDB030,C,Mex_24-Low,HiLo,CIMMYTMA-025289,4091,NAYA312,,20.8,-104.4,800,,RS17-228xB73,RS17-228xB73,RS17-6627.3@,UL18A-554@,UNISEM19A RS-31(RS19-7031)@,PV21-1585,CLY21B7-335,133,,,,
LANDB031A,BC1S4-bulked,LANDB031,A,Mex_25-High,HiLo,CIMMYTMA-005613,12006,MICH371,MUSHIT,19.499015,-101.582675,2280,,RS17-200xB73,RS17-200xB73,RS17-6628.1@,UL18A-555@,UNISEM_18B_1615@,RS19-3120,PV21-45,547,,,,
LANDB031B,Lost,,,Mex_25-High,HiLo,CIMMYTMA-005613,12006,MICH371,MUSHIT,19.499015,-101.582675,2280,,RS17-200xB73,RS17-200xB73,RS17-6628.2@,,,,,,,,,
LANDB031C,BC1S4-bulked,LANDB031,C,Mex_25-High,HiLo,CIMMYTMA-005613,12006,MICH371,MUSHIT,19.499015,-101.582675,2280,,RS17-200xB73,RS17-200xB73,RS17-6628.3@,UL18A-557@,UNISEM_18B_1617@,RS19-3121,PV21-46,749,,,,
LANDB032A,BC1S4-bulked,LANDB032,A,Mex_25-Low,HiLo,CIMMYTMA-003229,971,VERA142,TUXPEN,20.32,-96.87,5,,RS17-201xB73,RS17-201xB73,RS17-6629.1@,UL18A-558@,UNISEM_18B_1618@,RS19-3122,PV21-47,433,CLY21-B7-84,143,,
LANDB032B,BC1S4,LANDB032,B,Mex_25-Low,HiLo,CIMMYTMA-003229,971,VERA142,TUXPEN,20.32,-96.87,5,,RS17-201xB73,RS17-201xB73,RS17-6629.2@,UL18A-559@,UNISEM_18B_1619@,RS19-3123,,,,,,
LANDB032C,BC1S4-bulked,LANDB032,C,Mex_25-Low,HiLo,CIMMYTMA-003229,971,VERA142,TUXPEN,20.32,-96.87,5,,RS17-201xB73,RS17-201xB73,RS17-6629.3@,UL18A-560@,UNISEM_18B_1620@,RS19-3124,PV21-48,153,,,,
LANDB033A,BC1S4,LANDB033,A,Mex_26-High,HiLo,CIMMYTMA-018374,21204,MEXI193,,19.97,-99.52,2418,,RS17-162xB73,,RS17-6630.1@,UNISEM_18B_1621@,PV21-1586,CLY21-451@,,,,,,
LANDB033B,BC1S4-bulked,LANDB033,B,Mex_26-High,HiLo,CIMMYTMA-018374,21204,MEXI193,,19.97,-99.52,2418,,RS17-162xB73,,RS17-6630.2@,UL18A-562@,UNISEM_18B_1622@,RS19-3125,PV21-49,135,,,,
LANDB033C,BC1S4,LANDB033,C,Mex_26-High,HiLo,CIMMYTMA-018374,21204,MEXI193,,19.97,-99.52,2418,,RS17-162xB73,,RS17-6630.3@,UNISEM_18B_1623@,UNISEM19A_RS-34(RS19-7034)@,PV21-1587,,,,,,
LANDB034A,BC1S4-bulked,LANDB034,A,Mex_26-Low,HiLo,CIMMYTMA-002345,9686,VERA118,TUXPEN,19.855393,-96.708139,372,,RS17-163xB73,,RS17-6631.1@,UL18A-564@,UNISEM_18B_1624@,RS19-3126,PV21-50,676,CLY21-B7-87,350,,
LANDB034B,BC1S4,LANDB034,B,Mex_26-Low,HiLo,CIMMYTMA-002345,9686,VERA118,TUXPEN,19.855393,-96.708139,372,,RS17-163xB73,,RS17-6631.2@,UNISEM_18B_1625@,UNISEM19B-12636,RS20-3369.1@,,,,,,
LANDB034C,BC1S4-bulked,LANDB034,C,Mex_26-Low,HiLo,CIMMYTMA-002345,9686,VERA118,TUXPEN,19.855393,-96.708139,372,,RS17-163xB73,,RS17-6631.3@,UL18A-566@,UNISEM_18B_1626@,RS19-3127,PV21-51,475,CLY21-B7-88,88,,
LANDB035A,BC1S4-bulked,LANDB035,A,Mex_28-High,HiLo,CIMMYTMA-007937,13760,CHIH140,GORDO,29.65,-108.25,2141,,RS17-75xB73,RS17-189xB73,RS17-6632.1@,UL18A-567@,UNISEM_18B_1627@,RS19-3128,PV21-52,149,,,,
LANDB035B,BC1S4,LANDB035,B,Mex_28-High,HiLo,CIMMYTMA-007937,13760,CHIH140,GORDO,29.65,-108.25,2141,,RS17-75xB73,RS17-189xB73,RS17-6632.2@,UL18A-568@,UNISEM_18B_1628@,RS19-3129,,,,,,
LANDB035C,BC1S4,LANDB035,C,Mex_28-High,HiLo,CIMMYTMA-007937,13760,CHIH140,GORDO,29.65,-108.25,2141,,RS17-75xB73,RS17-189xB73,RS17-6632.3@,UNISEM_18B_1629@,PV21-1588,CLY21-452@,,,,,,
LANDB036A,BC1S4-bulked,LANDB036,A,Mex_28-Low,HiLo,CIMMYTMA-007294,13240,SONO115,TABPER,28.975149,-109.395459,454,,RS17-188xB73,RS17-188xB73,RS17-6633.1@,UL18A-570@,UNISEM_18B_1630@,RS19-3130,PV21-53,456,CLY21-B7-90,126,,
LANDB036B,BC1S4-bulked,LANDB036,B,Mex_28-Low,HiLo,CIMMYTMA-007294,13240,SONO115,TABPER,28.975149,-109.395459,454,,RS17-188xB73,RS17-188xB73,RS17-6633.2@,UL18A-571@,UNISEM_18B_1631@,RS19-3131,PV21-54,378,,,,
LANDB036C,BC1S4-bulked,LANDB036,C,Mex_28-Low,HiLo,CIMMYTMA-007294,13240,SONO115,TABPER,28.975149,-109.395459,454,,RS17-188xB73,RS17-188xB73,RS17-6633.3@,UL18A-572@,UNISEM_18B_1632@,RS19-3132,PV21-55,121,,,,
LANDB037A,BC1S4,LANDB037,A,Mex_29-High,HiLo,CIMMYTMA-013374,17264,DURA33,CONNOR,24.470342,-104.120767,2030,,RS17-39xB73,,RS17-6634.1@,UNISEM_18B_1633@,PV21-1462,CLY21-394@,,,,,,
LANDB037B,BC1S4,LANDB037,B,Mex_29-High,HiLo,CIMMYTMA-013374,17264,DURA33,CONNOR,24.470342,-104.120767,2030,,RS17-39xB73,,RS17-6634.2@,UL18A-574@,UNISEM_18B_1634@,RS19-3133,,,,,,
LANDB037C,BC1S4,LANDB037,C,Mex_29-High,HiLo,CIMMYTMA-013374,17264,DURA33,CONNOR,24.470342,-104.120767,2030,,RS17-39xB73,,RS17-6634.3@,UNISEM_18B_1635@,UNISEM19A_RS-38(RS19-7038)@,PV21-1589,,,,,,
LANDB038A,BC1S4,LANDB038,A,Mex_29-Low,HiLo,CIMMYTMA-000861,8640,SINA2,CHAPAL,24.824405,-107.460246,46,,RS17-181xB73,RS17-181xB73,RS17-6635.1@,UNISEM_18B_1636@,PV21-1590,CLY21-453@,,,,,,
LANDB038B,BC1S4-bulked,LANDB038,B,Mex_29-Low,HiLo,CIMMYTMA-000861,8640,SINA2,CHAPAL,24.824405,-107.460246,46,,RS17-181xB73,RS17-181xB73,UL18A-577@,UNISEM_18B_1637@,UNISEM19B-12638,RS20-3370.1@,PV21-56,204,,,,
LANDB038C,BC1S4,LANDB038,C,Mex_29-Low,HiLo,CIMMYTMA-000861,8640,SINA2,CHAPAL,24.824405,-107.460246,46,,RS17-181xB73,RS17-181xB73,UL18A-578@,UNISEM_18B_1638@,UNISEM19A_RS-41(RS19-7041)@,PV21-1591,,,,,,
LANDB039A,BC1S4-bulked,LANDB039,A,Mex_3-High,HiLo,CIMMYTMA-001398,NA,MEX 48,CHALQUENO,19.68333333,-99.13333333,2256,,RS17-220xB73,RS17-220xB73,RS17-6636.1@,UNISEM_18B_1639@,UNISEM19B-12639,RS20-3371.1@,PV21-57,203,,,,
LANDB039B,BC1S4-bulked,LANDB039,B,Mex_3-High,HiLo,CIMMYTMA-001398,NA,MEX 48,CHALQUENO,19.68333333,-99.13333333,2256,,RS17-220xB73,RS17-220xB73,RS17-6636.2@,UNISEM_18B_1640@,UNISEM19B-12640,RS20-3372.1@,PV21-58,334,,,,
LANDB039C,BC1S3,LANDB039,C,Mex_3-High,HiLo,CIMMYTMA-001398,NA,MEX 48,CHALQUENO,19.68333333,-99.13333333,2256,,RS17-220xB73,RS17-220xB73,UL18A-581@,UNISEM_18B_1641@,PV21-1592,,,,,,,
LANDB041A,BC1S4-bulked,LANDB041,A,Mex_30-High,HiLo,CIMMYTMA-000554,240,GUAN4,CELAYA,21.01666667,-101.25,2064,,RS17-186xB73,RS17-186xB73,RS17-6638.1@,UL18A-582@,UNISEM_18B_1642@,RS19-3134,PV21-59,193,,,,
LANDB041B,BC1S4-bulked,LANDB041,B,Mex_30-High,HiLo,CIMMYTMA-000554,240,GUAN4,CELAYA,21.01666667,-101.25,2064,,RS17-186xB73,RS17-186xB73,RS17-6638.2@,UL18A-583@,UNISEM_18B_1643@,RS19-3135,PV21-60,169,,,,
LANDB041C,BC1S4,LANDB041,C,Mex_30-High,HiLo,CIMMYTMA-000554,240,GUAN4,CELAYA,21.01666667,-101.25,2064,,RS17-186xB73,RS17-186xB73,UL18A-584@,UNISEM_18B_1644@,UNISEM19A_RS-45(RS19-7045)@,PV21-1593,,,,,,
LANDB042A,BC1S4-bulked,LANDB042,A,Mex_30-Low,HiLo,CIMMYTMA-000547,238,QUER50,TUXPEN,21.445085,-99.632358,562,,RS17-187xB73,RS17-187xB73,RS17-6639.1@,UL18A-585@,UNISEM_18B_1645@,RS19-3136,PV21-61,295,CLY21-B7-98,147,,
LANDB042B,BC1S4-bulked,LANDB042,B,Mex_30-Low,HiLo,CIMMYTMA-000547,238,QUER50,TUXPEN,21.445085,-99.632358,562,,RS17-187xB73,RS17-187xB73,RS17-6639.2@,UL18A-586@,UNISEM_18B_1646@,RS19-3137,PV21-62,380,CLY21-B7-99,112,,
LANDB042C,BC1S4-bulked,LANDB042,C,Mex_30-Low,HiLo,CIMMYTMA-000547,238,QUER50,TUXPEN,21.445085,-99.632358,562,,RS17-187xB73,RS17-187xB73,RS17-6639.3@,UL18A-587@,UNISEM_18B_1647@,RS19-3138,PV21-63,411,,,,
LANDB043A,BC1S4,LANDB043,A,Mex_31-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-172xB73,,RS17-6640.1@,UL18A-588@,UNISEM_18B_1648@,RS19-3139,,,,,,
LANDB043B,BC1S4-bulked,LANDB043,B,Mex_31-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-172xB73,,RS17-6640.2@,UL18A-589@,UNISEM_18B_1649@,RS19-3140,PV21-64,102,,,,
LANDB043C,BC1S4,LANDB043,C,Mex_31-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-172xB73,,UL18A-590@,UNISEM_18B_1650@,PV21-1594,CLY21-455@,,,,,,
LANDB044A,BC1S4,LANDB044,A,Mex_31-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-173xB73,RS17-173xB73,RS17-6641.1@,UL18A-591@,UNISEM_18B_1651@,PV21-1463,,,,,,
LANDB044B,BC1S4-bulked,LANDB044,B,Mex_31-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-173xB73,RS17-173xB73,RS17-6641.2@,UNISEM_18B_1652@,UNISEM19A_RS-47(RS19-7047)@,PV21-1595,CLY21B7-342,135,,,,
LANDB044C,BC1S4-bulked,LANDB044,C,Mex_31-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-173xB73,RS17-173xB73,UL18A-593@,UNISEM_18B_1653@,UNISEM19A_RS-48(RS19-7048)@,PV21-1596,CLY21B7-343,423,,,,
LANDB045A,BC1S4-bulked,LANDB045,A,Mex_4-High,HiLo,CIMMYTMA-008102,13889,VERA311,PALOME,19.71,-97.24,2220,,RS17-157xB73,RS17-157xB73,RS17-6642.1@,UL18A-594@,UNISEM_18B_1654@,RS19-3142,PV21-65,267,,,,
LANDB045B,BC1S4-bulked,LANDB045,B,Mex_4-High,HiLo,CIMMYTMA-008102,13889,VERA311,PALOME,19.71,-97.24,2220,,RS17-157xB73,RS17-157xB73,RS17-6642.2@,UL18A-595@,UNISEM_18B_1655@,RS19-3143,PV21-66,268,,,,
LANDB045C,BC1S4,LANDB045,C,Mex_4-High,HiLo,CIMMYTMA-008102,13889,VERA311,PALOME,19.71,-97.24,2220,,RS17-157xB73,RS17-157xB73,,UL18A-596@,UNISEM_18B_1656@,RS19-3144,,,,,,
LANDB046A,BC1S4,LANDB046,A,Mex_4-Low,HiLo,CIMMYTMA-007015,2011,JALI276,TUXPEN,20.31666667,-105.3333333,655,,RS17-156xB73,RS17-156xB73,RS17-6643.1@,UNISEM_18B_1657@,UNISEM19A_RS-49(RS19-7049)@,PV21-1597,,,,,,
LANDB046B,BC1S4-bulked,LANDB046,B,Mex_4-Low,HiLo,CIMMYTMA-007015,2011,JALI276,TUXPEN,20.31666667,-105.3333333,655,,RS17-156xB73,RS17-156xB73,RS17-6643.2@,UL18A-598@,UNISEM_18B_1658@,RS19-3145,PV21-67,451,CLY21-B7-106,84,,
LANDB046C,BC1S4,LANDB046,C,Mex_4-Low,HiLo,CIMMYTMA-007015,2011,JALI276,TUXPEN,20.31666667,-105.3333333,655,,RS17-156xB73,RS17-156xB73,RS17-6643.3@,UL18A-599@,UNISEM_18B_1659@,RS19-3146,,,,,,
LANDB047A,BC1S4,LANDB047,A,Mex_5-High,HiLo,CIMMYTMA-014017,17842,SNLP176,,23.13333333,-101.1166667,2043,,RS17-44xB73,,UL18A-600@,UNISEM_18B_1660@,PV21-1598,CLY21-456@,,,,,,
LANDB047B,BC1S3,LANDB047,B,Mex_5-High,HiLo,CIMMYTMA-014017,17842,SNLP176,,23.13333333,-101.1166667,2043,,RS17-44xB73,,UL18A-601@,UNISEM_18B_1661@,PV21-1464,,,,,,,
LANDB047C,BC1S3,LANDB047,C,Mex_5-High,HiLo,CIMMYTMA-014017,17842,SNLP176,,23.13333333,-101.1166667,2043,,RS17-44xB73,,UL18A-602@,UNISEM_18B_1662@,PV21-1599,,,,,,,
LANDB048A,BC1S4,LANDB048,A,Mex_5-Low,HiLo,CIMMYTMA-018888,21607,NAYA70,TABLON,22.417143,-105.46224,11,,RS17-216xB73,RS17-216xB73,RS17-6645.1@,UNISEM_18B_1663@,UNISEM19A_RS-53(RS19-7053)@,PV21-1600,,,,,,
LANDB048B,BC1S4-bulked,LANDB048,B,Mex_5-Low,HiLo,CIMMYTMA-018888,21607,NAYA70,TABLON,22.417143,-105.46224,11,,RS17-216xB73,RS17-216xB73,RS17-6645.2@,UL18A-604@,UNISEM_18B_1664@,RS19-3147,PV21-68,478,,,,
LANDB048C,BC1S4-bulked,LANDB048,C,Mex_5-Low,HiLo,CIMMYTMA-018888,21607,NAYA70,TABLON,22.417143,-105.46224,11,,RS17-216xB73,RS17-216xB73,RS17-6645.3@,UL18A-605@,UNISEM_18B_1665@,RS19-3148,PV21-69,923,,,,
LANDB049A,BC1S4-bulked,LANDB049,A,Mex_6-High,HiLo,CIMMYTMA-020218,22659,OAXA724,BOLITA,16.9,-96.26666667,2164,,RS17-82xB73,,RS17-6646.1@,UL18A-606@,UNISEM_18B_1666@,RS19-3149,PV21-70,141,CLY21-B7-109,134,,
LANDB049B,BC1S4,LANDB049,B,Mex_6-High,HiLo,CIMMYTMA-020218,22659,OAXA724,BOLITA,16.9,-96.26666667,2164,,RS17-82xB73,,RS17-6646.2@,UL18A-607@,UNISEM_18B_1667@,PV21-1465,,,,,,
LANDB049C,BC1S4-bulked,LANDB049,C,Mex_6-High,HiLo,CIMMYTMA-020218,22659,OAXA724,BOLITA,16.9,-96.26666667,2164,,RS17-82xB73,,RS17-6646.3@,UL18A-608@,UNISEM_18B_1668@,RS19-3151,PV21-71,293,,,,
LANDB050A,BC1S4,LANDB050,A,Mex_6-Low,HiLo,CIMMYTMA-016261,19812,GUER127,,17.560971,-101.262247,52,,RS17-151xB73,RS17-151xB73,UL18A-609@,UNISEM_18B_1669@,UNISEM19A_RS-54(RS19-7054)@,PV21-1601,,,,,,
LANDB050B,BC1S4-bulked,LANDB050,B,Mex_6-Low,HiLo,CIMMYTMA-016261,19812,GUER127,,17.560971,-101.262247,52,,RS17-151xB73,RS17-151xB73,UL18A-610@,UNISEM_18B_1670@,UNISEM19A_RS-55(RS19-7055)@,PV21-1602,CLY21B7-347,166,,,,
LANDB050C,BC1S4-bulked,LANDB050,C,Mex_6-Low,HiLo,CIMMYTMA-016261,19812,GUER127,,17.560971,-101.262247,52,,RS17-151xB73,RS17-151xB73,UL18A-611@,UNISEM_18B_1671@,UNISEM19A_RS-56(RS19-7056)@,PV21-1603,CLY21B7-348,296,,,,
LANDB051A,BC1S4-bulked,LANDB051,A,Mex_7-High,HiLo,CIMMYTMA-026945,28182,TLAX525,,19.31666667,-97.91666667,2492,,RS17-176xB73,RS17-176xB73,RS17-6648.1@,UL18A-612@,UNISEM_18B_1672@,RS19-3152,PV21-72,520,,,,
LANDB051B,BC1S4,LANDB051,B,Mex_7-High,HiLo,CIMMYTMA-026945,28182,TLAX525,,19.31666667,-97.91666667,2492,,RS17-176xB73,RS17-176xB73,RS17-6648.2@,UL18A-613@,UNISEM_18B_1673@,PV21-1466,,,,,,
LANDB051C,BC1S4,LANDB051,C,Mex_7-High,HiLo,CIMMYTMA-026945,28182,TLAX525,,19.31666667,-97.91666667,2492,,RS17-176xB73,RS17-176xB73,RS17-6648.3@,UNISEM_18B_1674@,UNISEM19A_RS-57(RS19-7057)@,PV21-1604,,,,,,
LANDB052A,BC1S4,LANDB052,A,Mex_7-Low,HiLo,CIMMYTMA-000686,8511,VERA126,TUXPEN,18.589859,-95.436809,30,,RS17-177xB73,,RS17-6649.1@,UL18A-615@,UNISEM19A_RS-58(RS19-7058)@,PV21-1605,,,,,,
LANDB052B,BC1S4,LANDB052,B,Mex_7-Low,HiLo,CIMMYTMA-000686,8511,VERA126,TUXPEN,18.589859,-95.436809,30,,RS17-177xB73,,RS17-6649.2@,UL18A-616@,UNISEM_18B_1676@,RS19-3154,,,,,,
LANDB052C,BC1S4-bulked,LANDB052,C,Mex_7-Low,HiLo,CIMMYTMA-000686,8511,VERA126,TUXPEN,18.589859,-95.436809,30,,RS17-177xB73,,UNISEM_18B_1677@,UNISEM19A_RS-59(RS19-7059)@,UNISEM19B-12642,RS20-3373.1@,PV21-74,91,,,,
LANDB053A,BC1S3,LANDB053,A,Mex_8-High,HiLo,CIMMYTMA-007584,13478,PUEB384,CONICO,19.28333333,-98.43333333,2261,,RS17-120xB73,RS17-253xB73,RS17-6650.1@,UNISEM_18B_1678@,PV21-1607,,,,,,,
LANDB053B,BC1S4-bulked,LANDB053,B,Mex_8-High,HiLo,CIMMYTMA-007584,13478,PUEB384,CONICO,19.28333333,-98.43333333,2261,,RS17-120xB73,RS17-253xB73,RS17-6650.2@,UL18A-619@,UNISEM_18B_1679@,RS19-3155,PV21-75,468,,,,
LANDB053C,BC1S4-bulked,LANDB053,C,Mex_8-High,HiLo,CIMMYTMA-007584,13478,PUEB384,CONICO,19.28333333,-98.43333333,2261,,RS17-120xB73,RS17-253xB73,RS17-6650.3@,UL18A-620@,UNISEM_18B_1680@,RS19-3156,PV21-76,200,,,,
LANDB054A,BC1S4-bulked,LANDB054,A,Mex_8-Low,HiLo,CIMMYTMA-023180,25272,COLI26,,19.33205,-103.731987,720,,RS17-252xB73,RS17-252xB73,RS17-6651.1@,UL18A-621@,UNISEM_18B_1681@,PV21-1467,CLY21B7-270,103,,,,
LANDB054B,BC1S4,LANDB054,B,Mex_8-Low,HiLo,CIMMYTMA-023180,25272,COLI26,,19.33205,-103.731987,720,,RS17-252xB73,RS17-252xB73,UL18A-622@,UNISEM_18B_1682@,UNISEM19A_RS-61(RS19-7061)@,PV21-1608,,,,,,
LANDB054C,BC1S4,LANDB054,C,Mex_8-Low,HiLo,CIMMYTMA-023180,25272,COLI26,,19.33205,-103.731987,720,,RS17-252xB73,RS17-252xB73,UL18A-623@,UNISEM_18B_1683@,UNISEM19B-12643,RS20-3374.1@,,,,,,
LANDB056A,BC1S3,LANDB056,A,Mex_9-Low,HiLo,CIMMYTMA-020752,23134,HIDA184,CONICO,21.062344,-98.870068,436,,RS17-144xB73,,RS17-6653.1@,UL18A-624@,PV21-1448,,,,,,,
LANDB056B,BC1S4,LANDB056,B,Mex_9-Low,HiLo,CIMMYTMA-020752,23134,HIDA184,CONICO,21.062344,-98.870068,436,,RS17-144xB73,,RS17-6653.2@,UNISEM_18B_1685@,UNISEM19B-12645,PV21-1635,,,,,,
LANDB056C,BC1S4-bulked,LANDB056,C,Mex_9-Low,HiLo,CIMMYTMA-020752,23134,HIDA184,CONICO,21.062344,-98.870068,436,,RS17-144xB73,,RS17-6653.3@,UNISEM_18B_1686@,UNISEM19B-12646,RS20-3376.1@,PV21-78,515,,,,
LANDB057A,Lost,,,SA_1-High,HiLo,CIMMYTMA-015032,18735,BOZM0881,,-17.55,-65.83333333,2725,,RS17-193xB73,RS17-193xB73,RS17-6654.1@,UNISEM_18B_1687@,,,,,,,,
LANDB057B,BC1S4-bulked,LANDB057,B,SA_1-High,HiLo,CIMMYTMA-015032,18735,BOZM0881,,-17.55,-65.83333333,2725,,RS17-193xB73,RS17-193xB73,RS17-6654.2@,UL18A-628@,UNISEM_18B_1688@,RS19-3158,PV21-79,198,,,,
LANDB057C,BC1S4-bulked,LANDB057,C,SA_1-High,HiLo,CIMMYTMA-015032,18735,BOZM0881,,-17.55,-65.83333333,2725,,RS17-193xB73,RS17-193xB73,RS17-6654.3@,UL18A-629@,UNISEM_18B_1689@,RS19-3159,PV21-80,416,,,,
LANDB058A,BC1S4-bulked,LANDB058,A,SA_1-Low,HiLo,CIMMYTMA-016874,20341,BOLI434,,-17.898168,-63.308388,516,,RS17-192xB73,RS17-192xB73,RS17-6655.1@,UL18A-630@,UNISEM_18B_1690@,RS19-3160,PV21-81,16.4,,,,
LANDB058B,BC1S4-bulked,LANDB058,B,SA_1-Low,HiLo,CIMMYTMA-016874,20341,BOLI434,,-17.898168,-63.308388,516,,RS17-192xB73,RS17-192xB73,RS17-6655.2@,UL18A-631@,UNISEM_18B_1691@,RS19-3161,PV21-82,64,,,,
LANDB058C,BC1S4-bulked,LANDB058,C,SA_1-Low,HiLo,CIMMYTMA-016874,20341,BOLI434,,-17.898168,-63.308388,516,,RS17-192xB73,RS17-192xB73,RS17-6655.3@,UL18A-632@,UNISEM_18B_1692@,RS19-3162,PV21-83,87,,,,
LANDB059A,BC1S3,LANDB059,A,SA_14-High,HiLo,CIMMYTMA-018202,21067,PERU923,,-8.563063,-77.77292,3412,,RS17-190xB73,RS17-190xB73,RS17-6656.1@,UNISEM_18B_1693@,PV21-1609,,,,,,,
LANDB059B,BC1S4,LANDB059,B,SA_14-High,HiLo,CIMMYTMA-018202,21067,PERU923,,-8.563063,-77.77292,3412,,RS17-190xB73,RS17-190xB73,RS17-6656.2@,UNISEM_18B_1694@,PV21-1610,CLY21-461@,,,,,,
LANDB059C,BC1S4,LANDB059,C,SA_14-High,HiLo,CIMMYTMA-018202,21067,PERU923,,-8.563063,-77.77292,3412,,RS17-190xB73,RS17-190xB73,RS17-6656.3@,UNISEM_18B_1695@,PV21-1469,CLY21-396@,,,,,,
LANDB060A,BC1S4-bulked,LANDB060,A,SA_14-Low,HiLo,CIMMYTMA-014578,18320,SNMART111,,-8.444628,-76.471549,580,,RS17-191xB73,RS17-191xB73,RS17-6657.1@,UL18A-636@,UNISEM_18B_1696@,RS19-3163,PV21-84,789,,,,
LANDB060B,BC1S4-bulked,LANDB060,B,SA_14-Low,HiLo,CIMMYTMA-014578,18320,SNMART111,,-8.444628,-76.471549,580,,RS17-191xB73,RS17-191xB73,RS17-6657.2@,UL18A-637@,UNISEM_18B_1697@,RS19-3164,PV21-85,157,,,,
LANDB060C,BC1S4-bulked,LANDB060,C,SA_14-Low,HiLo,CIMMYTMA-014578,18320,SNMART111,,-8.444628,-76.471549,580,,RS17-191xB73,RS17-191xB73,RS17-6657.3@,UL18A-638@,UNISEM_18B_1698@,RS19-3165,PV21-86,560,CLY21-B7-125,138,,
LANDB061A,BC1S3,LANDB061,A,SA_15-High,HiLo,CIMMYTMA-024949,26531,TAC.41,,-17.450516,-70.051311,3206,,RS17-204xB73,,RS17-6658.1@,UNISEM_18B_1699@,PV21-1612,,,,,,,
LANDB061B,BC1S4-bulked,LANDB061,B,SA_15-High,HiLo,CIMMYTMA-024949,26531,TAC.41,,-17.450516,-70.051311,3206,,RS17-204xB73,,UNISEM_18B_1700@,UNISEM19A_RS-71(RS19-7071),UNISEM19B-12649,RS20-3377.1@,PV21-87,403,,,,
LANDB061C,Lost,,,SA_15-High,HiLo,CIMMYTMA-024949,26531,TAC.41,,-17.450516,-70.051311,3206,,RS17-204xB73,,UNISEM_18B_1701@,,,,,,,,,
LANDB062A,BC1S4-bulked,LANDB062,A,SA_15-Low,HiLo,CIMMYTMA-011857,16644,BOLI809,,-18.345503,-59.590785,613,,RS17-205xB73,RS17-205xB73,RS17-6659.1@,UL18A-642@,UNISEM_18B_1702@,RS19-3167,PV21-88,620,,,,
LANDB062B,BC1S4,LANDB062,B,SA_15-Low,HiLo,CIMMYTMA-011857,16644,BOLI809,,-18.345503,-59.590785,613,,RS17-205xB73,RS17-205xB73,RS17-6659.2@,UL18A-643@,UNISEM_18B_1703@,RS19-3168,,,,,,
LANDB062C,BC1S4-bulked,LANDB062,C,SA_15-Low,HiLo,CIMMYTMA-011857,16644,BOLI809,,-18.345503,-59.590785,613,,RS17-205xB73,RS17-205xB73,RS17-6659.3@,UL18A-644@,UNISEM_18B_1704@,PV21-1470,CLY21B7-271,81,,,,
