Line,State,Line-id,line-plant,Donor,Pop,Donor_CIMMYT_ID,Donor_ID,Donor_Accession,Donor_Race,Donor_Lat,Donor_Lon,Donor_Ele,F1,BC1 (683),BC1_ALTERNATIVE,BC1S1 (650),BC1S2 (599),BC1S3 (452),BC1 S4 (414),BC1 S4 BULK1 (225),Bulk1 Weight (gr),BC1 S4 BULK2 ,Bulk2 Weight (gr),TC-T6,TC-Weight (gr)
LANDB007C,BC1S4-bulked,LANDB007,C,Mex_12-High,HiLo,CIMMYTMA-019483,22098,ZACA134,CONNOR,22.902593,-103.478062,2019,,RS17-166xB73,,RS17-6604.3@,UL18A-485@,UNISEM_18B_1545@,RS19-3080,PV21-11,375,,,,
LANDB008A,BC1S4,LANDB008,A,Mex_12-Low,HiLo,CIMMYTMA-023628,3860,SNLP143,CONICO,21.93333333,-100,994,,RS17-31xB73,,RS17-6605.1@,UL18A-486@,UNISEM_18B_1546@,PV21-1454,,,,,,
LANDB008B,BC1S4-bulked,LANDB008,B,Mex_12-Low,HiLo,CIMMYTMA-023628,3860,SNLP143,CONICO,21.93333333,-100,994,,RS17-31xB73,,RS17-6605.2@,UL18A-487@,UNISEM_18B_1547@,RS19-3082,PV21-12,421,CLY21-B7-47,212,,
LANDB008C,BC1S4,LANDB008,C,Mex_12-Low,HiLo,CIMMYTMA-023628,3860,SNLP143,CONICO,21.93333333,-100,994,,RS17-31xB73,,UL18A-488@,UNISEM19A_RS-5(RS19-7005)@,UNISEM19B-12623,PV21-1630,,,,,,
LANDB009A,BC1S3,LANDB009,A,Mex_13-High,HiLo,CIMMYTMA-001535,9107,QUER56,CONNOR,20.7,-99.8,2039,,RS17-59xB73,,RS17-6606.1@,UNISEM_18B_1549@,PV21-1606, ,,,,,,
LANDB009B,BC1S3,LANDB009,B,Mex_13-High,HiLo,CIMMYTMA-001535,9107,QUER56,CONNOR,20.7,-99.8,2039,,RS17-59xB73,,RS17-6606.2@,UNISEM_18B_1550@,PV21-1611,,,,,,,
LANDB009C,BC1S4,LANDB009,C,Mex_13-High,HiLo,CIMMYTMA-001535,9107,QUER56,CONNOR,20.7,-99.8,2039,,RS17-59xB73,,UL18A-491@,UNISEM_18B_1551@,UNISEM19B-12624,RS20-3359,,,,,,
LANDB010A,BC1S4,LANDB010,A,Mex_13-Low,HiLo,CIMMYTMA-007026,13069,NAYA149,TUXPEN,21.2,-105.1666667,8,,RS17-58xB73,RS17-234xB73,RS17-6607.1@,UL18A-492@,UNISEM_18B_1552@,PV21-1455,,,,,,
LANDB010B,BC1S4-bulked,LANDB010,B,Mex_13-Low,HiLo,CIMMYTMA-007026,13069,NAYA149,TUXPEN,21.2,-105.1666667,8,,RS17-58xB73,RS17-234xB73,RS17-6607.2@,UL18A-493@,UNISEM_18B_1553@,RS19-3084,PV21-13,196,,,,
LANDB010C,BC1S4-bulked,LANDB010,C,Mex_13-Low,HiLo,CIMMYTMA-007026,13069,NAYA149,TUXPEN,21.2,-105.1666667,8,,RS17-58xB73,RS17-234xB73,RS17-6607.3@,UL18A-494@,UNISEM19A_RS-9(RS19-7009)@,PV21-1622,CLY21B7-356,163,,,,
